Issue ID,Summary,Issue Type,Priority,Description,Epic Link
T-037,케이스 순회 및 모듈 호출 연결,Task,High,각 케이스마다 get_answer / validate / evaluate 순서 호출,AJ-22
T-038,실행 로그 출력 구현,Task,Low,케이스별 진행 상황 콘솔 출력,AJ-22
T-039,전체 파이프라인 End-to-End 실행 테스트,Task,High,python main.py 실행 후 7개 케이스 전체 정상 완료 확인,AJ-22
T-040,7개 케이스 결과 검토,Task,Medium,PASS/FAIL 판정 결과 적정성 확인,AJ-22
T-041,Streamlit 앱 기본 구성,Task,Medium,페이지 타이틀 및 레이아웃 설정,AJ-23
T-042,요약 지표 카드 구현,Task,Medium,"총 케이스 / PASS / REVIEW / FAIL 수치 metric 표시",AJ-23
T-043,케이스별 점수 표 구현,Task,High,PASS/REVIEW/FAIL 컬러 하이라이트 적용 DataFrame 표시,AJ-23
T-044,항목별 평균 점수 바차트 구현,Task,Medium,"accuracy / groundedness / helpfulness / safety 평균 bar_chart",AJ-23
T-045,케이스 상세 보기 구현,Task,Medium,selectbox로 케이스 선택 후 질문·답변·채점 상세 표시,AJ-23
T-046,대시보드 최종 동작 확인,Task,Low,main.py 실행 후 streamlit run 정상 렌더링 확인,AJ-23
T-047,[BUG] judge_agent JSON 파싱 실패 시 파이프라인 중단,Bug,High,"재현: main.py 실행 중 API 응답 불완전 시 JSONDecodeError 발생 후 중단 | 기대: 오류 로그 후 다음 케이스 진행 | 관련 파일: judge_agent.py",AJ-24
T-048,[REQ] 평가 결과 누적 저장 기능 요청,Story,Medium,"요청 배경: 매 실행마다 덮어써져 이전 결과 비교 불가 | 기대 효과: 실행 일시별 결과 이력 관리 가능 | 관련 파일: report_generator.py",AJ-25
