Summary,Issue Type,Priority,Description,Epic Name,Epic Link
save_csv() 구현,Task,Medium,"utf-8-sig 인코딩 적용, 엑셀 호환 확인",,EP-07 리포트 생성 모듈 개발
save_markdown() 구현,Task,Medium,"요약 테이블 + 케이스별 상세 내용 포함 Markdown 작성",,EP-07 리포트 생성 모듈 개발
generate_all() 통합 함수 작성,Task,Medium,3종 파일 한 번에 생성하는 함수 구현,,EP-07 리포트 생성 모듈 개발
reports/ 폴더 자동 생성 확인,Task,Low,config.py에서 REPORTS_DIR.mkdir 동작 확인,,EP-07 리포트 생성 모듈 개발
출력 파일 내용 검토,Task,Low,"JSON / CSV / Markdown 파일 열어 데이터 정합성 확인",,EP-07 리포트 생성 모듈 개발
main.py 전체 흐름 설계,Task,High,service → rule → judge → report 순서 연결 구조 설계,,EP-08 파이프라인 통합
test_cases.json 로딩 로직 구현,Task,Medium,json.load()로 케이스 목록 불러오기,,EP-08 파이프라인 통합
케이스 순회 및 모듈 호출 연결,Task,High,각 케이스마다 get_answer / validate / evaluate 순서 호출,,EP-08 파이프라인 통합
실행 로그 출력 구현,Task,Low,케이스별 진행 상황 콘솔 출력,,EP-08 파이프라인 통합
전체 파이프라인 End-to-End 실행 테스트,Task,High,python main.py 실행 후 7개 케이스 전체 정상 완료 확인,,EP-08 파이프라인 통합
7개 케이스 결과 검토,Task,Medium,PASS/FAIL 판정 결과 적정성 확인,,EP-08 파이프라인 통합
Streamlit 앱 기본 구성,Task,Medium,페이지 타이틀 및 레이아웃 설정,,EP-09 대시보드 개발
요약 지표 카드 구현,Task,Medium,"총 케이스 / PASS / REVIEW / FAIL 수치 metric 표시",,EP-09 대시보드 개발
케이스별 점수 표 구현,Task,High,PASS/REVIEW/FAIL 컬러 하이라이트 적용 DataFrame 표시,,EP-09 대시보드 개발
항목별 평균 점수 바차트 구현,Task,Medium,"accuracy / groundedness / helpfulness / safety 평균 bar_chart",,EP-09 대시보드 개발
케이스 상세 보기 구현,Task,Medium,selectbox로 케이스 선택 후 질문·답변·채점 상세 표시,,EP-09 대시보드 개발
대시보드 최종 동작 확인,Task,Low,main.py 실행 후 streamlit run 정상 렌더링 확인,,EP-09 대시보드 개발
[BUG] 버그 등록 예시 - judge_agent JSON 파싱 실패 시 파이프라인 중단,Bug,High,"재현: main.py 실행 중 API 응답 불완전 시 JSONDecodeError 발생 후 중단 | 기대: 오류 로그 후 다음 케이스 진행 | 관련 파일: judge_agent.py",,EP-10 버그 관리
[REQ] 평가 결과 누적 저장 기능 요청,Story,Medium,"요청 배경: 매 실행마다 덮어써져 이전 결과 비교 불가 | 기대 효과: 실행 일시별 결과 이력 관리 가능 | 관련 파일: report_generator.py",,EP-11 요청사항 관리
